month,Apple_Value,Milk_value,Cigar_value,Coffee_value,Rice_value,Fuel_Value,92Octane_Value,95Octane_value,98Octane_value,year
1993-01,0.37,2.61,na,8.65,5.77,na,na,na,na,1993
1993-02,0.36,2.61,na,8.65,5.79,na,na,na,na,1993
1993-03,0.37,2.61,na,8.63,5.79,na,na,na,na,1993
1993-04,0.35,2.6,na,8.46,5.79,na,na,na,na,1993
1993-05,0.35,2.6,na,8.45,5.79,na,na,na,na,1993
1993-06,0.33,2.58,na,8.44,5.79,na,na,na,na,1993
1993-07,0.33,2.6,na,8.45,5.78,na,na,na,na,1993
1993-08,0.33,2.6,na,8.44,5.78,na,na,na,na,1993
1993-09,0.35,2.6,na,8.42,5.79,na,na,na,na,1993
1993-10,0.35,2.6,na,8.43,5.79,na,na,na,na,1993
1993-11,0.35,2.57,na,8.42,5.79,na,na,na,na,1993
1993-12,0.34,2.57,na,8.41,5.87,na,na,na,na,1993
1994-01,0.34,2.57,na,8.39,5.92,na,na,na,na,1994
1994-02,0.34,2.57,na,8.41,5.92,na,na,na,na,1994
1994-03,0.34,2.55,na,8.41,6.02,na,na,na,na,1994
1994-04,0.34,2.53,na,7.68,6.19,na,na,na,na,1994
1994-05,0.36,2.58,na,7.7,6.24,na,na,na,na,1994
1994-06,0.33,2.58,na,7.66,6.36,na,na,na,na,1994
1994-07,0.34,2.53,na,7.64,6.36,na,na,na,na,1994
1994-08,0.34,2.53,na,7.34,6.36,na,na,na,na,1994
1994-09,0.34,2.54,na,7.36,6.37,na,na,na,na,1994
1994-10,0.35,2.54,na,7.44,6.37,na,na,na,na,1994
1994-11,0.33,2.55,na,7.54,6.38,na,na,na,na,1994
1994-12,0.33,2.55,na,7.65,6.38,na,na,na,na,1994
1995-01,0.34,2.55,na,7.65,6.38,na,na,na,na,1995
1995-02,0.34,2.54,na,7.66,6.38,na,na,na,na,1995
1995-03,0.33,2.54,na,7.68,6.39,na,na,na,na,1995
1995-04,0.34,2.58,na,7.7,6.36,na,na,na,na,1995
1995-05,0.33,2.58,na,7.71,6.36,na,na,na,na,1995
1995-06,0.33,2.58,na,7.93,6.35,na,na,na,na,1995
1995-07,0.34,2.57,na,7.91,6.33,na,na,na,na,1995
1995-08,0.33,2.57,na,7.9,6.32,na,na,na,na,1995
1995-09,0.33,2.57,na,7.89,6.32,na,na,na,na,1995
1995-10,0.34,2.57,na,7.9,6.35,na,na,na,na,1995
1995-11,0.34,2.57,na,7.91,6.35,na,na,na,na,1995
1995-12,0.33,2.57,na,7.91,6.31,na,na,na,na,1995
1996-01,0.33,2.54,na,7.9,6.29,na,na,na,na,1996
1996-02,0.34,2.54,na,7.91,6.28,na,na,na,na,1996
1996-03,0.34,2.54,na,7.91,6.3,na,na,na,na,1996
1996-04,0.34,2.55,na,7.9,6.3,na,na,na,na,1996
1996-05,0.34,2.55,na,7.8,6.29,na,na,na,na,1996
1996-06,0.33,2.55,na,7.8,6.26,na,na,na,na,1996
1996-07,0.33,2.56,na,7.82,6.26,na,na,na,na,1996
1996-08,0.34,2.56,na,7.9,6.28,na,na,na,na,1996
1996-09,0.34,2.56,na,7.92,6.31,na,na,na,na,1996
1996-10,0.34,2.54,na,7.93,6.76,na,na,na,na,1996
1996-11,0.34,2.54,na,7.92,6.81,na,na,na,na,1996
1996-12,0.34,2.54,na,7.93,6.8,na,na,na,na,1996
1997-01,0.33,2.5,na,7.93,6.94,na,na,na,na,1997
1997-02,0.34,2.5,na,7.93,7.02,na,na,na,na,1997
1997-03,0.33,2.5,na,7.94,7.64,na,na,na,na,1997
1997-04,0.34,2.5,na,7.94,7.72,na,na,na,na,1997
1997-05,0.33,2.54,na,7.98,7.84,na,na,na,na,1997
1997-06,0.34,2.54,na,8.03,8,na,na,na,na,1997
1997-07,0.33,2.55,na,8.07,8.05,na,na,na,na,1997
1997-08,0.33,2.56,na,8.09,8.14,na,na,na,na,1997
1997-09,0.33,2.57,na,8.09,8.26,na,na,na,na,1997
1997-10,0.33,2.58,na,8.13,8.33,na,na,na,na,1997
1997-11,0.33,2.57,na,8.1,8.32,na,na,na,na,1997
1997-12,0.33,2.57,na,8.11,8.28,na,na,na,na,1997
1998-01,0.33,2.58,na,8.95,8.87,na,na,na,na,1998
1998-02,0.33,2.57,na,8.89,8.86,na,na,na,na,1998
1998-03,0.33,2.61,na,8.84,8.86,na,na,na,na,1998
1998-04,0.33,2.61,na,8.84,8.9,na,na,na,na,1998
1998-05,0.33,2.61,na,8.89,8.83,na,na,na,na,1998
1998-06,0.33,2.6,na,8.71,8.84,na,na,na,na,1998
1998-07,0.33,2.57,na,8.63,8.83,na,na,na,na,1998
1998-08,0.33,2.54,na,8.57,8.83,na,na,na,na,1998
1998-09,0.33,2.55,na,8.45,8.81,na,na,na,na,1998
1998-10,0.33,2.52,na,8.36,8.8,na,na,na,na,1998
1998-11,0.33,2.51,na,8.33,8.5,na,na,na,na,1998
1998-12,0.33,2.46,na,8.21,8.49,na,na,na,na,1998
1999-01,0.33,2.46,na,8.11,8.41,na,na,na,na,1999
1999-02,0.33,2.42,na,7.96,8.41,na,na,na,na,1999
1999-03,0.33,2.46,na,8.05,8.4,na,na,na,na,1999
1999-04,0.33,2.44,na,8.1,8.39,na,na,na,na,1999
1999-05,0.33,2.46,na,8.1,8.34,na,na,na,na,1999
1999-06,0.33,2.44,na,7.95,8.33,na,na,na,na,1999
1999-07,0.33,2.49,na,7.98,8.3,na,na,na,na,1999
1999-08,0.33,2.48,na,8.08,8.25,na,na,na,na,1999
1999-09,0.33,2.48,na,7.94,8.23,na,na,na,na,1999
1999-10,0.33,2.49,na,7.87,8.48,na,na,na,na,1999
1999-11,0.33,2.46,na,7.84,8.5,na,na,na,na,1999
1999-12,0.33,2.46,na,7.95,8.53,na,na,na,na,1999
2000-01,0.33,2.48,na,7.93,8.54,na,1.2,1.24,1.3,2000
2000-02,0.33,2.5,na,7.92,8.52,na,1.23,1.27,1.34,2000
2000-03,0.33,2.48,na,7.87,8.42,na,1.26,1.29,1.37,2000
2000-04,0.33,2.45,na,7.92,8.46,na,1.28,1.32,1.38,2000
2000-05,0.33,2.45,na,7.99,8.4,na,1.23,1.27,1.34,2000
2000-06,0.33,2.42,na,7.87,8.41,na,1.27,1.3,1.37,2000
2000-07,0.33,2.4,na,7.75,8.4,na,1.32,1.36,1.42,2000
2000-08,0.33,2.39,na,7.75,8.39,na,1.35,1.39,1.46,2000
